Area,Economic activity,Time period,Hourly wage for temporary employees (€),Hourly wage for permanent employees (€),"Hourly wage no educational degree, primary and lower secondary school certificate (€)",Hourly wage upper and post secondary (€),"Hourly wage tertiary (university, doctoral and specialization courses) (€)",Hourly wage by age (15-29) (€)
Sud,"Services (g to s, except o)",2017,9.58,10.43,9.59,10.22,11.49,9.43
Sud,"Services (g to s, except o)",2018,9.61,10.51,9.62,10.26,11.56,9.44
Sud,"Services (g to s, except o)",2019,9.64,10.65,9.73,10.34,11.72,9.51
Sud,"Services (g to s, except o)",2020,9.73,10.98,9.94,10.56,12.08,9.68
Sud,"Services (g to s, except o)",2021,9.76,11.1,10.0,10.58,12.11,9.73
Sud,Wholesale and retail trade repair of motor vehicles and motorcycles,2014,9.01,10.19,9.45,10.09,11.19,9.32
Sud,Wholesale and retail trade repair of motor vehicles and motorcycles,2015,9.15,10.18,9.57,10.11,11.08,9.4
Sud,Wholesale and retail trade repair of motor vehicles and motorcycles,2016,9.2,10.4,9.69,10.27,11.27,9.52
Sud,Wholesale and retail trade repair of motor vehicles and motorcycles,2017,9.38,10.61,9.82,10.42,11.42,9.66
Sud,Wholesale and retail trade repair of motor vehicles and motorcycles,2018,9.46,10.72,9.87,10.51,11.64,9.67
Sud,Wholesale and retail trade repair of motor vehicles and motorcycles,2019,9.56,10.81,9.99,10.57,11.88,9.73
Sud,Wholesale and retail trade repair of motor vehicles and motorcycles,2020,9.55,11.01,10.09,10.73,12.1,9.78
Sud,Wholesale and retail trade repair of motor vehicles and motorcycles,2021,9.61,11.06,10.17,10.72,12.13,9.81
Sud,Transportation and storage,2014,10.26,12.24,10.56,13.32,13.92,9.81
Sud,Transportation and storage,2015,10.32,11.93,10.59,13.21,13.92,9.77
Sud,Transportation and storage,2016,10.39,12.04,10.72,13.12,13.82,9.74
Sud,Transportation and storage,2017,10.31,12.06,10.73,12.79,13.62,9.77
Sud,Transportation and storage,2018,10.59,12.16,10.93,12.65,14.02,10.0
Sud,Transportation and storage,2019,10.66,12.25,11.12,12.53,13.99,10.24
Sud,Transportation and storage,2020,10.82,12.68,11.53,12.79,14.5,10.52
Sud,Transportation and storage,2021,10.65,12.62,11.43,12.51,14.97,10.45
Sud,Accommodation and food service activities,2014,9.46,9.18,9.25,9.42,9.62,9.07
Sud,Accommodation and food service activities,2015,9.59,9.2,9.31,9.46,9.69,9.13
Sud,Accommodation and food service activities,2016,9.52,9.28,9.33,9.47,9.74,9.13
Sud,Accommodation and food service activities,2017,9.54,9.37,9.39,9.55,9.81,9.22
Sud,Accommodation and food service activities,2018,9.55,9.44,9.42,9.6,9.9,9.25
Sud,Accommodation and food service activities,2019,9.64,9.57,9.52,9.72,10.03,9.33
Sud,Accommodation and food service activities,2020,9.76,10.03,9.77,9.98,10.25,9.55
Sud,Accommodation and food service activities,2021,9.72,10.11,9.75,9.97,10.18,9.56
Sud,Information and communication,2014,9.99,12.81,9.92,12.1,12.91,9.62
Sud,Information and communication,2015,10.73,12.32,9.89,12.11,12.71,9.84
Sud,Information and communication,2016,10.95,12.39,10.05,12.22,12.71,10.05
Sud,Information and communication,2017,10.75,12.58,10.25,12.15,12.92,10.19
Sud,Information and communication,2018,10.95,12.7,10.53,12.26,12.9,10.35
Sud,Information and communication,2019,10.58,12.92,10.35,12.3,13.37,10.53
Sud,Information and communication,2020,11.19,12.99,10.85,12.46,13.31,10.69
Sud,Information and communication,2021,12.45,13.1,11.78,12.61,13.57,11.07
Sud,Financial and insurance activities,2014,9.89,21.25,18.63,21.57,20.15,10.95
Sud,Financial and insurance activities,2015,10.76,21.04,18.68,21.28,20.27,10.81
Sud,Financial and insurance activities,2016,10.19,21.22,18.47,21.48,20.48,10.65
Sud,Financial and insurance activities,2017,10.07,21.36,18.0,21.51,20.69,10.47
Sud,Financial and insurance activities,2018,10.7,21.35,17.76,21.35,20.54,10.9
Sud,Financial and insurance activities,2019,10.58,21.62,16.91,21.87,20.65,12.53
Sud,Financial and insurance activities,2020,10.38,21.59,18.17,21.56,21.01,12.18
Sud,Financial and insurance activities,2021,10.08,22.23,18.86,22.32,21.73,12.67
Sud,Real estate activities,2014,8.93,10.12,9.31,9.95,10.69,9.04
Sud,Real estate activities,2015,9.27,9.96,9.44,9.88,10.37,9.26
Sud,Real estate activities,2016,9.44,10.18,9.62,10.09,10.55,9.48
Sud,Real estate activities,2017,9.69,10.42,9.85,10.28,10.72,9.67
Sud,Real estate activities,2018,9.55,10.47,9.81,10.25,10.7,9.48
Sud,Real estate activities,2019,9.64,10.57,9.86,10.3,10.89,9.5
Sud,Real estate activities,2020,9.69,10.81,10.17,10.52,10.92,9.65
Sud,Real estate activities,2021,9.7,10.81,10.17,10.51,10.89,9.71
Sud,"Professional, scientific and technical activities",2014,8.43,10.08,8.76,9.57,10.68,8.65
Sud,"Professional, scientific and technical activities",2015,8.08,10.11,8.8,9.57,10.52,8.5
Sud,"Professional, scientific and technical activities",2016,8.96,10.36,9.25,9.99,10.87,9.21
Sud,"Professional, scientific and technical activities",2017,9.18,10.61,9.51,10.22,11.1,9.3
Sud,"Professional, scientific and technical activities",2018,8.44,10.64,9.05,10.09,10.98,8.98
Sud,"Professional, scientific and technical activities",2019,8.68,10.81,9.1,10.21,11.23,9.18
Sud,"Professional, scientific and technical activities",2020,9.07,11.19,9.6,10.54,11.6,9.57
Sud,"Professional, scientific and technical activities",2021,9.04,11.1,9.33,10.39,11.48,9.5
Sud,Administrative and support service activities,2014,9.64,9.06,8.85,9.67,10.48,9.48
Sud,Administrative and support service activities,2015,10.06,9.13,9.0,9.94,10.61,9.87
Sud,Administrative and support service activities,2016,9.87,9.26,9.08,9.88,10.59,9.72
Sud,Administrative and support service activities,2017,9.95,9.3,9.12,9.99,10.75,9.92
Sud,Administrative and support service activities,2018,9.87,9.4,9.05,10.02,10.93,9.85
Sud,Administrative and support service activities,2019,9.76,9.68,9.19,10.03,11.02,9.83
Sud,Administrative and support service activities,2020,9.69,9.85,9.17,10.09,11.11,9.88
Sud,Administrative and support service activities,2021,9.82,10.18,9.39,10.26,11.31,9.99
Sud,Education,2014,9.85,9.3,8.47,9.1,10.98,8.87
Sud,Education,2015,9.56,9.33,8.39,9.04,10.52,8.86
Sud,Education,2016,9.27,9.25,8.49,8.97,9.91,8.72
Sud,Education,2017,9.55,9.5,8.62,9.1,10.77,9.05
Sud,Education,2018,9.61,9.57,8.62,9.22,10.44,9.05
Sud,Education,2019,9.4,9.77,8.75,9.22,10.3,9.04
Sud,Education,2020,9.71,10.1,9.05,9.44,10.78,9.37
Sud,Education,2021,9.61,10.16,9.04,9.42,10.65,9.39
Sud,Human health and social work activities,2014,9.52,10.32,9.57,9.78,11.91,9.7
Sud,Human health and social work activities,2015,9.52,10.2,9.52,9.75,11.51,9.64
Sud,Human health and social work activities,2016,9.43,10.26,9.55,9.8,11.29,9.65
Sud,Human health and social work activities,2017,9.48,10.53,9.73,9.97,11.45,9.75
Sud,Human health and social work activities,2018,9.59,10.57,9.74,10.0,11.42,9.8
Sud,Human health and social work activities,2019,9.62,10.68,9.83,10.09,11.46,9.9
Sud,Human health and social work activities,2020,10.0,11.04,10.16,10.38,11.92,10.32
Sud,Human health and social work activities,2021,9.93,11.2,10.29,10.42,11.89,10.3
Sud,"Arts, entertainment and recreation",2014,9.17,9.49,9.03,9.35,9.75,8.87
Sud,"Arts, entertainment and recreation",2015,9.43,9.67,9.25,9.6,9.85,9.14
Sud,"Arts, entertainment and recreation",2016,9.29,9.79,9.24,9.58,9.81,9.11
Sud,"Arts, entertainment and recreation",2017,9.32,9.9,9.24,9.62,10.0,9.1
Sud,"Arts, entertainment and recreation",2018,9.42,10.0,9.2,9.79,10.18,9.16
Sud,"Arts, entertainment and recreation",2019,9.44,10.11,9.17,9.89,10.5,9.09
Sud,"Arts, entertainment and recreation",2020,9.44,10.44,9.42,9.95,10.4,9.2
Sud,"Arts, entertainment and recreation",2021,9.57,10.53,9.38,10.05,10.62,9.2
Sud,Other service activities,2014,8.23,7.81,7.77,7.94,9.68,7.52
Sud,Other service activities,2015,8.22,7.96,7.88,8.04,9.75,7.63
Sud,Other service activities,2016,8.21,8.05,7.97,8.12,9.63,7.71
Sud,Other service activities,2017,8.13,8.17,8.02,8.17,9.64,7.72
Sud,Other service activities,2018,8.08,8.18,8.05,8.12,9.53,7.67
Sud,Other service activities,2019,8.06,8.24,8.09,8.14,9.59,7.7
Sud,Other service activities,2020,8.31,8.45,8.27,8.38,10.45,7.81
Sud,Other service activities,2021,8.34,8.53,8.33,8.43,10.5,7.87
