Area,Economic activity,Time period,"Hourly wage no educational degree, primary and lower secondary school certificate (€)",Hourly wage upper and post secondary (€),"Hourly wage tertiary (university, doctoral and specialization courses) (€)"
Nord-ovest,Real estate activities,2019,10.83,11.65,14.03
Nord-ovest,Real estate activities,2020,11.11,11.84,14.47
Nord-ovest,Real estate activities,2021,11.21,11.87,14.89
Nord-ovest,"Professional, scientific and technical activities",2014,10.34,11.93,15.68
Nord-ovest,"Professional, scientific and technical activities",2015,10.52,12.0,15.56
Nord-ovest,"Professional, scientific and technical activities",2016,9.96,11.7,15.37
Nord-ovest,"Professional, scientific and technical activities",2017,10.0,11.83,15.43
Nord-ovest,"Professional, scientific and technical activities",2018,10.0,11.84,15.51
Nord-ovest,"Professional, scientific and technical activities",2019,10.08,12.05,15.81
Nord-ovest,"Professional, scientific and technical activities",2020,10.78,12.66,16.67
Nord-ovest,"Professional, scientific and technical activities",2021,10.67,12.66,16.92
Nord-ovest,Administrative and support service activities,2014,9.35,10.13,11.26
Nord-ovest,Administrative and support service activities,2015,9.76,10.52,11.66
Nord-ovest,Administrative and support service activities,2016,9.72,10.5,11.75
Nord-ovest,Administrative and support service activities,2017,9.81,10.61,11.95
Nord-ovest,Administrative and support service activities,2018,9.73,10.53,12.02
Nord-ovest,Administrative and support service activities,2019,9.7,10.58,12.2
Nord-ovest,Administrative and support service activities,2020,9.88,10.73,12.61
Nord-ovest,Administrative and support service activities,2021,9.98,10.75,12.51
Nord-ovest,Education,2014,9.53,11.05,15.0
Nord-ovest,Education,2015,9.66,11.0,14.95
Nord-ovest,Education,2016,9.78,11.06,14.82
Nord-ovest,Education,2017,9.92,11.27,14.4
Nord-ovest,Education,2018,10.06,11.51,14.66
Nord-ovest,Education,2019,10.09,11.56,14.44
Nord-ovest,Education,2020,10.42,11.81,14.74
Nord-ovest,Education,2021,10.46,11.68,14.38
Nord-ovest,Human health and social work activities,2014,9.79,10.06,11.19
Nord-ovest,Human health and social work activities,2015,9.77,10.06,11.12
Nord-ovest,Human health and social work activities,2016,9.86,10.15,11.26
Nord-ovest,Human health and social work activities,2017,9.98,10.3,11.46
Nord-ovest,Human health and social work activities,2018,10.01,10.31,11.48
Nord-ovest,Human health and social work activities,2019,10.14,10.45,11.62
Nord-ovest,Human health and social work activities,2020,10.4,10.72,12.02
Nord-ovest,Human health and social work activities,2021,10.46,10.73,12.04
Nord-ovest,"Arts, entertainment and recreation",2014,10.55,10.84,10.98
Nord-ovest,"Arts, entertainment and recreation",2015,10.41,10.74,10.7
Nord-ovest,"Arts, entertainment and recreation",2016,10.45,10.87,10.8
Nord-ovest,"Arts, entertainment and recreation",2017,10.33,10.76,10.95
Nord-ovest,"Arts, entertainment and recreation",2018,10.45,10.83,10.96
Nord-ovest,"Arts, entertainment and recreation",2019,10.26,10.75,10.92
Nord-ovest,"Arts, entertainment and recreation",2020,10.59,11.01,11.24
Nord-ovest,"Arts, entertainment and recreation",2021,10.51,10.95,11.35
Nord-ovest,Other service activities,2014,8.06,8.41,10.25
Nord-ovest,Other service activities,2015,8.17,8.51,10.19
Nord-ovest,Other service activities,2016,8.19,8.79,10.67
Nord-ovest,Other service activities,2017,8.21,8.88,10.85
Nord-ovest,Other service activities,2018,8.16,8.91,10.73
Nord-ovest,Other service activities,2019,8.18,9.03,10.87
Nord-ovest,Other service activities,2020,8.38,9.22,11.29
Nord-ovest,Other service activities,2021,8.38,9.44,11.25
Nord-est,TOTAL,2014,11.01,11.86,13.49
Nord-est,TOTAL,2015,11.18,12.03,13.59
Nord-est,TOTAL,2016,11.18,12.06,13.68
Nord-est,TOTAL,2017,11.18,12.04,13.7
Nord-est,TOTAL,2018,11.2,12.07,13.7
Nord-est,TOTAL,2019,11.34,12.22,14.08
Nord-est,TOTAL,2020,11.59,12.49,14.41
Nord-est,TOTAL,2021,11.57,12.5,14.63
Nord-est,TOTAL INDUSTRY (b to f),2014,11.98,13.19,16.04
Nord-est,TOTAL INDUSTRY (b to f),2015,12.22,13.42,16.23
Nord-est,TOTAL INDUSTRY (b to f),2016,12.22,13.46,16.39
Nord-est,TOTAL INDUSTRY (b to f),2017,12.28,13.54,16.55
Nord-est,TOTAL INDUSTRY (b to f),2018,12.31,13.58,16.67
Nord-est,TOTAL INDUSTRY (b to f),2019,12.49,13.79,17.23
Nord-est,TOTAL INDUSTRY (b to f),2020,12.67,13.97,17.18
Nord-est,TOTAL INDUSTRY (b to f),2021,12.8,14.12,17.41
Nord-est,TOTAL INDUSTRY EXCLUDING CONSTRUCTION (b to e),2014,12.17,13.51,16.32
Nord-est,TOTAL INDUSTRY EXCLUDING CONSTRUCTION (b to e),2015,12.41,13.72,16.52
Nord-est,TOTAL INDUSTRY EXCLUDING CONSTRUCTION (b to e),2016,12.43,13.77,16.67
Nord-est,TOTAL INDUSTRY EXCLUDING CONSTRUCTION (b to e),2017,12.49,13.85,16.84
Nord-est,TOTAL INDUSTRY EXCLUDING CONSTRUCTION (b to e),2018,12.51,13.88,16.98
Nord-est,TOTAL INDUSTRY EXCLUDING CONSTRUCTION (b to e),2019,12.71,14.1,17.54
Nord-est,TOTAL INDUSTRY EXCLUDING CONSTRUCTION (b to e),2020,12.89,14.29,17.48
Nord-est,TOTAL INDUSTRY EXCLUDING CONSTRUCTION (b to e),2021,13.04,14.44,17.73
Nord-est,Mining and quarrying,2014,14.1,17.6,25.96
Nord-est,Mining and quarrying,2015,14.07,17.39,27.97
Nord-est,Mining and quarrying,2016,14.58,17.86,27.51
Nord-est,Mining and quarrying,2017,14.34,18.31,25.77
Nord-est,Mining and quarrying,2018,14.29,17.84,24.91
Nord-est,Mining and quarrying,2019,14.47,16.06,28.86
Nord-est,Mining and quarrying,2020,14.64,17.12,24.14
Nord-est,Mining and quarrying,2021,14.88,17.44,24.75
Nord-est,Manufacturing,2014,12.09,13.36,16.17
Nord-est,Manufacturing,2015,12.33,13.58,16.37
Nord-est,Manufacturing,2016,12.35,13.62,16.54
Nord-est,Manufacturing,2017,12.42,13.71,16.74
Nord-est,Manufacturing,2018,12.45,13.75,16.9
Nord-est,Manufacturing,2019,12.65,13.98,17.45
Nord-est,Manufacturing,2020,12.82,14.17,17.45
Nord-est,Manufacturing,2021,12.97,14.33,17.71
Nord-est,"Electricity, gas, steam and air conditioning supply",2014,17.97,19.57,21.06
Nord-est,"Electricity, gas, steam and air conditioning supply",2015,18.2,19.99,21.35
Nord-est,"Electricity, gas, steam and air conditioning supply",2016,17.47,19.72,20.59
Nord-est,"Electricity, gas, steam and air conditioning supply",2017,17.68,19.88,20.77
Nord-est,"Electricity, gas, steam and air conditioning supply",2018,17.65,19.76,20.09
Nord-est,"Electricity, gas, steam and air conditioning supply",2019,17.74,20.04,20.95
Nord-est,"Electricity, gas, steam and air conditioning supply",2020,17.82,19.97,20.14
Nord-est,"Electricity, gas, steam and air conditioning supply",2021,17.98,20.28,20.15
Nord-est,"Water supply sewerage, waste management and remediation activities",2014,14.54,15.58,16.63
Nord-est,"Water supply sewerage, waste management and remediation activities",2015,14.76,15.71,16.62
Nord-est,"Water supply sewerage, waste management and remediation activities",2016,14.78,15.9,17.4
Nord-est,"Water supply sewerage, waste management and remediation activities",2017,14.11,15.37,16.71
Nord-est,"Water supply sewerage, waste management and remediation activities",2018,14.12,15.38,16.95
Nord-est,"Water supply sewerage, waste management and remediation activities",2019,14.18,15.42,17.07
Nord-est,"Water supply sewerage, waste management and remediation activities",2020,14.23,15.35,16.9
Nord-est,"Water supply sewerage, waste management and remediation activities",2021,14.5,15.5,17.03
Nord-est,Construction,2014,11.32,11.73,13.6
Nord-est,Construction,2015,11.61,12.03,13.63
Nord-est,Construction,2016,11.53,12.0,13.68
Nord-est,Construction,2017,11.59,12.08,13.75
Nord-est,Construction,2018,11.68,12.2,13.75
Nord-est,Construction,2019,11.8,12.35,13.97
Nord-est,Construction,2020,11.95,12.47,14.0
Nord-est,Construction,2021,12.01,12.59,14.1
Nord-est,"Services (g to s, except o)",2014,10.42,11.22,12.54
Nord-est,"Services (g to s, except o)",2015,10.55,11.36,12.64
Nord-est,"Services (g to s, except o)",2016,10.57,11.41,12.73
Nord-est,"Services (g to s, except o)",2017,10.63,11.43,12.78
Nord-est,"Services (g to s, except o)",2018,10.64,11.46,12.76
Nord-est,"Services (g to s, except o)",2019,10.76,11.59,13.1
Nord-est,"Services (g to s, except o)",2020,10.97,11.82,13.44
Nord-est,"Services (g to s, except o)",2021,10.93,11.77,13.58
